titulo,link
Futebol,https://www.espn.com.br/futebol/
Jogos De Hoje,https://ge.globo.com/agenda/#/mais-esportes
Mais Campeonatos,https://www.uol.com.br/esporte/futebol/campeonatos/
Isso É Golpe!,https://www.uol.com.br/tilt/isso-e-golpe/
Uol Jogos,https://www.uol.com.br/jogos/
Jogos Do Dia,https://www.uol.com.br/esporte/futebol/central-de-jogos/
Campeonatos,https://www.uol.com.br/esporte/futebol/campeonatos/
"Futebolfilipe Luís, Sobre Pedro No Mundial Do Fla: 'Acreditamos Que Vá Recuperar'",https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/12/09/flamengo-filipe-luis-pedro-intercontinental.htm
Santos E Gabigol Namoram E Aguardam Desfecho No Cruzeiro Para Selar Volta,https://www.uol.com.br/esporte/futebol/ultimas-noticias/2025/12/09/santos-e-gabigol-namoram-e-aguardam-desfecho-no-cruzeiro-para-selar-volta.htm
Corinthians Impõe Risco A Cruzeiro Com Trio Que Perdeu Quatro De 23 Jogos,https://www.uol.com.br/esporte/colunas/pvc/2025/12/09/corinthians-deve-ter-trio-que-so-perdeu-tres-vezes-em-21-jogos.htm
"Fabio, Aos 45, Jogou As 38 Rodadas Do Brasileiro E Tem 72 Jogos No Ano",https://www.uol.com.br/esporte/colunas/milly-lacombe/2025/12/09/fabio-aos-45-jogou-as-38-rodadas-do-brasileiro-e-tem-72-jogos-no-ano.htm
Por Que Jornalistas Estão Sendo Agredidas No Futebol?,https://www.uol.com.br/esporte/colunas/alicia-klein/2025/12/09/por-que-jornalistas-estao-sendo-agredidas-no-futebol.htm
Qual É O Tamanho Do Campeão Lando Norris Na História Da Fórmula 1?,https://www.uol.com.br/esporte/colunas/pole-position/2025/12/09/qual-e-o-tamanho-do-campeao-lando-norris-na-historia-da-formula-1.htm
Rodada Da Champions Pode Definir 1ª Vaga Às Oitavas E Eliminar Tetracampeão,https://www.uol.com.br/esporte/futebol/colunas/rafael-reis/2025/12/09/rodada-da-champions-pode-definir-1-vaga-as-oitavas-e-eliminar-tetracampeao.htm
"Ufc 325: Antes Do Reencontro, Alexander Volkanovski Aponta Perigos De Diego Lopes O Campeão Peso-Pena (66 Kg) Do Ufc, Alexander Volkanovski, Abriu O Jogo Em Entrevista Exclusiva À Equipe De...",https://www.uol.com.br/esporte/ultimas-noticias/ag-fight/2025/12/09/ufc-325-antes-do-reencontro-alexander-volkanovski-aponta-perigos-de-diego-lopes.htm
"Após Lesão, Alexandre Pantoja Perde Espaço No Ranking Peso-Por-Peso Do Ufc A Atualização Mais Recente Do Ranking Do Ufc Trouxe Mudanças Significativas Envolvendo Atletas Brasileiros,...",https://www.uol.com.br/esporte/ultimas-noticias/ag-fight/2025/12/09/apos-lesao-alexandre-pantoja-perde-espaco-no-ranking-peso-por-peso-do-ufc.htm
"Uol Play   Veja Jogos Da Champions Com Exclusividade. Planos A Partir De R$ 0,76/Dia",https://play.uol.com.br/lp/esportes/hbo-max?utm_source=home_organic_banner-maior-champions&utm_medium=home&utm_campaign=home_organic_banner-maior-champions
"Ufc 325: Antes Do Reencontro, Alexander Volkanovski Aponta Perigos De Diego Lopes O Campeão Peso-Pena (66 Kg) Do Ufc, Alexander Volkanovski, Abriu O Jogo Em Entrevista Exclusiva À Equipe De... 09/12/2025 17H25",https://www.uol.com.br/esporte/ultimas-noticias/ag-fight/2025/12/09/ufc-325-antes-do-reencontro-alexander-volkanovski-aponta-perigos-de-diego-lopes.htm
Gabigol Tem Saída Do Cruzeiro Como Caminho Mais Provável,https://ge.globo.com/futebol/times/cruzeiro/noticia/2025/12/09/gabigol-tem-saida-do-cruzeiro-como-caminho-provavel-para-2026-entenda-cenario.ghtml
Gabigol No Santos? Clube Observa Situação Do Atacante,https://ge.globo.com/sp/santos-e-regiao/futebol/times/santos/noticia/2025/12/09/gabigol-no-santos-clube-observa-situacao-do-atacante-no-cruzeiro.ghtml
Copa Sp De Futebol Jr,https://ge.globo.com/futebol/copa-sp-de-futebol-junior/
Futebol Italiano,https://ge.globo.com/futebol/futebol-internacional/futebol-italiano/
Futebol Francês,https://ge.globo.com/futebol/futebol-internacional/futebol-frances/
Futebol Saudita,https://ge.globo.com/futebol/futebol-internacional/futebol-saudita/
Futebol Internacional,https://ge.globo.com/futebol/futebol-internacional/
Futebol Feminino,https://ge.globo.com/olimpiadas/futebol-feminino/
Futebol Masculino,https://ge.globo.com/olimpiadas/olimpiadas-futebol-masculino/
Jogos Pan-Americanos,https://ge.globo.com/jogos-pan-americanos/
Futebol Americano,https://ge.globo.com/futebol-americano/
Golfe,https://www.espn.com.br/golfe/
Bastidores Do Flamengofutebol,https://www.espn.com.br/futebol/time/_/id/819/flamengo
Militão Vive Calvário De Lesões E Perdeu 67% Dos Jogos Do Real Madrid,https://sports.sbt.com.br/noticia/futebol-internacional/militao-vive-calvario-de-lesoes-e-perdeu-67-dos-jogos-do-real-madrid
Vídeochampions League - 09/12/2025 Às 18:30Defesaça Do Alisson! Lautaro Martínez Cabeceia Do Meio Da Área E Brasileiro Salva O Liverpoolgoleiro Defendeu Tentativa De Gol Da Inter No Final Do Primeiro Tempo,https://sports.sbt.com.br/noticia/champions-league/defesaca-do-alisson-lautaro-martinez-cabeceia-do-meio-da-area-e-brasileiro-salva-o-liverpool
Vídeochampions League - 09/12/2025 Às 18:15Quase Gol Da Inter! Barella Cobra Falta Perigosa Contra O Liverpoolchute De Fora Da Área Saiu Por Cima Do Gol,https://sports.sbt.com.br/noticia/champions-league/quase-gol-da-inter-barella-cobra-falta-perigosa-contra-o-liverpool
Vídeochampions League - 09/12/2025 Às 17:45Pressão Do Liverpool! Sommer Faz Boas Defesas Para Salvar A Inter Na Championsgoleiro Da Inter Defendeu Dois Chutes De Fora Da Área,https://sports.sbt.com.br/noticia/champions-league/pressao-do-liverpool-sommer-faz-boas-defesas-para-salvar-a-inter-na-champions
"Vídeochampions League - 09/12/2025 Às 17:35Liverpool Tem Gol Anulado Contra A Inter De Milão Na Championskonaté Marcou, Mas O Lance Foi Anulado Após Revisão Do Var",https://sports.sbt.com.br/noticia/champions-league/gol-do-liverpool-konate-abre-o-placar-contra-a-inter-na-champions
"Botafogo - 09/12/2025 Às 16:00Clubes Ingleses Têm Interesse Em Contratar Vitinho, Do Botafogojogador Tem Melhor Temporada Da Carreira, Sendo Recordista De Jogos Pelo Gloriosa",https://sports.sbt.com.br/noticia/botafogo/clubes-ingleses-tem-interesse-em-contratar-vitinho-do-botafogo-1
"Flamengo - 09/12/2025 Às 15:30Cruz Azul X Flamengo: Onde Assistir, Escalações E Arbitragemrubro-Negro Inicia A Campanha Rumo Ao Bicampeonato Do Intercontinental",https://sports.sbt.com.br/noticia/flamengo/cruz-azul-mex-x-flamengo-onde-assistir-escalacoes-e-arbitragem-1
