Posição,Sigla,Time,J,V,E,D,GP,GC,SG,PTS
1,FLA,Flamengo,38,23,10,5,78,27,51,79
2,PAL,Palmeiras,38,23,7,8,66,33,33,76
3,CRU,Cruzeiro,38,19,13,6,55,31,24,70
4,MIR,Mirassol,38,18,13,7,63,39,24,67
5,FLU,Fluminense,38,19,7,12,50,39,11,64
6,BOT,Botafogo,38,17,12,9,58,38,20,63
7,BAH,Bahia,38,17,9,12,50,46,4,60
8,SAO,São Paulo,38,14,9,15,43,47,-4,51
9,GRE,Grêmio,38,13,10,15,47,50,-3,49
10,BRA,Red Bull Bragantino,38,14,6,18,45,57,-12,48
11,CAM,Atlético-MG,38,12,12,14,43,44,-1,48
12,SAN,Santos,38,12,11,15,45,50,-5,47
13,COR,Corinthians,38,12,11,15,42,47,-5,47
14,VAS,Vasco da Gama,38,13,6,19,55,60,-5,45
15,VIT,Vitória,38,11,12,15,35,52,-17,45
16,INT,Internacional,38,11,11,16,44,57,-13,44
17,CEA,Ceará,38,11,10,17,34,40,-6,43
18,FOR,Fortaleza,38,11,10,17,43,58,-15,43
19,JUV,Juventude,38,9,8,21,35,69,-34,35
20,SPO,Sport,38,2,11,25,28,75,-47,17
